%% ---------- Weather input time-series for AquaCropOS ---------- %%
%% Day	Month	Year	MinTemp	MaxTemp	Precipitation	ReferenceET %%
1	1	2000	17.6	25.1	20.8	3.4
2	1	2000	13.7	26.8	0.0	4.4
3	1	2000	18.2	25.2	0.0	3.3
4	1	2000	19.1	23.2	4.0	2.6
5	1	2000	16.4	25.1	0.0	4.2
6	1	2000	16.1	26.8	0.0	4.0
7	1	2000	15.4	25.5	0.0	4.2
8	1	2000	17.9	25.1	0.0	3.8
9	1	2000	17.8	25.2	0.0	4.6
10	1	2000	18.1	26.9	0.0	4.3
11	1	2000	18.5	29.9	0.0	3.6
12	1	2000	18.2	26.7	0.0	3.8
13	1	2000	17.3	25.6	0.0	3.8
14	1	2000	16.2	26.0	0.0	2.5
15	1	2000	17.2	27.9	0.0	4.0
16	1	2000	16.9	25.5	0.0	3.2
17	1	2000	18.4	26.3	0.0	4.3
18	1	2000	17.7	30.3	0.0	5.0
19	1	2000	16.8	23.5	0.0	4.4
20	1	2000	16.6	23.5	0.0	4.3
21	1	2000	17.2	24.3	0.0	4.5
22	1	2000	18.8	24.3	0.0	4.6
23	1	2000	15.3	23.4	0.0	4.8
24	1	2000	14.9	23.3	0.0	4.4
25	1	2000	15.1	24.9	0.0	4.1
26	1	2000	15.2	24.5	0.0	3.5
27	1	2000	17.2	26.8	0.0	4.6
28	1	2000	15.5	25.7	0.0	4.3
29	1	2000	16.1	24.0	0.0	4.7
30	1	2000	16.2	23.6	0.0	4.7
31	1	2000	17.6	24.2	1.8	3.8
1	2	2000	17.3	24.0	5.5	3.7
2	2	2000	17.9	25.5	2.4	4.8
3	2	2000	15.5	26.2	0.0	4.2
4	2	2000	15.0	25.7	0.0	4.7
5	2	2000	9.6	25.1	0.0	4.6
6	2	2000	17.7	27.1	0.0	2.0
7	2	2000	19.9	28.3	0.0	3.4
8	2	2000	18.4	26.2	0.0	4.3
9	2	2000	17.9	26.6	0.0	4.8
10	2	2000	18.0	25.5	0.0	5.1
11	2	2000	19.3	26.5	0.0	4.6
12	2	2000	13.3	22.5	0.0	4.1
13	2	2000	18.1	25.3	9.1	5.1
14	2	2000	16.8	24.1	0.0	4.6
15	2	2000	18.2	26.0	0.0	3.9
16	2	2000	17.9	26.8	0.0	5.6
17	2	2000	17.8	28.6	0.0	5.6
18	2	2000	20.9	34.2	0.0	5.5
19	2	2000	18.8	26.7	0.0	5.1
20	2	2000	16.6	25.7	0.0	4.9
21	2	2000	17.4	23.7	0.0	5.4
22	2	2000	20.1	27.4	0.0	5.8
23	2	2000	20.0	27.1	0.0	6.0
24	2	2000	18.2	27.0	4.8	5.2
25	2	2000	19.2	28.6	0.0	5.3
26	2	2000	20.4	27.4	0.0	3.7
27	2	2000	19.8	25.1	0.1	3.5
28	2	2000	21.2	27.3	0.7	4.0
29	2	2000	19.5	30.5	0.0	6.9
1	3	2000	20.5	27.4	0.0	6.4
2	3	2000	19.4	30.1	0.0	5.9
3	3	2000	19.7	28.2	0.0	6.4
4	3	2000	19.1	28.8	0.0	6.2
5	3	2000	18.5	28.8	0.0	6.0
6	3	2000	20.4	28.1	0.0	6.3
7	3	2000	18.1	28.8	0.0	5.7
8	3	2000	20.0	30.9	15.7	3.3
9	3	2000	20.7	29.6	0.3	1.5
10	3	2000	20.8	27.8	0.0	3.9
11	3	2000	20.4	32.8	0.0	5.8
12	3	2000	20.3	31.4	1.0	6.2
13	3	2000	19.4	24.7	44.5	5.3
14	3	2000	19.8	27.1	16.1	5.9
15	3	2000	21.1	28.0	0.0	6.1
16	3	2000	22.3	30.1	0.0	6.5
17	3	2000	19.2	31.7	0.0	6.1
18	3	2000	20.6	30.4	0.0	6.5
19	3	2000	19.0	28.4	0.0	6.4
20	3	2000	15.2	32.8	0.0	6.9
21	3	2000	21.6	30.7	13.3	2.5
22	3	2000	20.2	30.1	0.0	5.0
23	3	2000	20.0	31.1	0.0	4.8
24	3	2000	22.4	30.8	0.0	6.1
25	3	2000	21.9	29.7	0.0	5.9
26	3	2000	23.8	30.9	0.0	6.6
27	3	2000	23.8	34.0	0.0	7.2
28	3	2000	24.9	30.9	0.0	7.2
29	3	2000	19.3	29.9	0.0	6.8
30	3	2000	21.1	32.8	0.0	5.3
31	3	2000	23.0	33.9	0.0	5.7
1	4	2000	23.6	36.2	0.0	7.2
2	4	2000	24.0	36.2	0.0	7.2
3	4	2000	23.5	33.4	0.0	7.9
4	4	2000	20.5	31.3	0.0	6.2
5	4	2000	21.3	30.0	0.0	7.3
6	4	2000	24.3	34.2	0.0	7.6
7	4	2000	24.2	33.7	0.0	8.2
8	4	2000	20.8	32.7	0.0	6.1
9	4	2000	21.2	35.6	0.0	6.3
10	4	2000	24.6	34.6	0.0	7.7
11	4	2000	26.8	31.9	0.0	8.2
12	4	2000	23.7	37.1	0.0	6.8
13	4	2000	26.1	37.9	0.0	7.3
14	4	2000	22.5	34.8	0.0	8.0
15	4	2000	23.5	36.2	0.0	7.7
16	4	2000	25.5	41.9	0.0	8.0
17	4	2000	27.3	39.1	0.0	8.0
18	4	2000	24.6	35.3	0.0	8.1
19	4	2000	26.5	33.1	0.0	8.1
20	4	2000	25.9	39.2	0.0	8.4
21	4	2000	24.6	35.4	0.0	8.1
22	4	2000	24.3	34.2	0.0	5.6
23	4	2000	23.5	31.6	0.0	7.4
24	4	2000	21.1	28.9	2.8	5.5
25	4	2000	27.2	35.0	0.0	7.3
26	4	2000	23.8	36.2	0.0	5.3
27	4	2000	23.9	36.2	0.0	5.5
28	4	2000	23.1	35.1	0.0	7.5
29	4	2000	24.3	33.6	0.0	7.7
30	4	2000	32.1	40.8	0.0	8.1
1	5	2000	27.8	41.6	0.0	8.3
