% ---------- Weather input time-series for AquaCropOS ---------- %
% Day	Month	Year	MinTemp	MaxTemp	Precipitation	ReferenceET %
1	1	2000	18.1	32.7	0	2.6
2	1	2000	17.5	29.2	0.6	2.2
3	1	2000	20.3	29.6	0.1	1.9
4	1	2000	17.6	30.3	0.2	2.2
5	1	2000	17.8	26.9	8.4	1.7
6	1	2000	20.0	27.3	0.5	1.7
7	1	2000	21.2	29.1	5.1	1.8
8	1	2000	18.6	27.2	1.3	1.7
9	1	2000	18.8	30.1	1.2	2.1
10	1	2000	19.5	27.4	0.2	1.4
11	1	2000	18.3	32.8	2.9	2.2
12	1	2000	19.7	30.2	1.5	2.1
13	1	2000	19.4	32.0	1.5	2.4
14	1	2000	18.7	28.0	1.3	1.7
15	1	2000	18.0	29.5	0.2	1.9
16	1	2000	19.4	28.7	1.9	1.9
17	1	2000	19.7	29.6	0.1	2.1
18	1	2000	19.2	31.9	4.8	2.2
19	1	2000	19.4	32.2	0.4	2.5
20	1	2000	19.4	27.6	0.1	1.8
21	1	2000	20.0	29.0	0.2	2.0
22	1	2000	19.2	31.2	3.1	2.3
23	1	2000	17.8	32.5	0.2	2.7
24	1	2000	18.8	26.7	0.5	1.7
25	1	2000	19.9	30.7	0.5	2.3
26	1	2000	19.0	28.7	0.4	2.1
27	1	2000	20.2	31.9	1.4	2.3
28	1	2000	19.4	31.9	2.6	2.0
29	1	2000	18.4	33.1	0	2.6
30	1	2000	17.2	31.5	0	2.6
31	1	2000	17.4	33.7	0	2.8
1	2	2000	19.6	31.7	1.1	2.5
2	2	2000	18.8	33.2	5.8	2.1
3	2	2000	20.6	31.7	5.7	1.8
4	2	2000	20.3	29.4	0.5	1.9
5	2	2000	19.2	27.7	0.6	1.9
6	2	2000	17.6	35.1	0	3.0
7	2	2000	18.6	26.6	0.4	1.9
8	2	2000	20.9	35.5	2.9	2.6
9	2	2000	19.1	30.3	1.1	2.3
10	2	2000	20.8	34.6	2.1	2.6
11	2	2000	20.3	27.4	2.5	1.9
12	2	2000	18.2	33.2	0	2.8
13	2	2000	20.7	33.2	0.1	2.6
14	2	2000	18.4	33.1	0.3	2.4
15	2	2000	19.7	35.4	0.6	2.4
16	2	2000	20.1	28.0	1.2	2.0
17	2	2000	20.9	34.3	2.9	2.7
18	2	2000	20.8	33.3	0.6	2.3
19	2	2000	19.8	32.0	0.4	2.2
20	2	2000	22.1	28.8	1.1	1.8
21	2	2000	18.8	30.6	0.1	2.1
22	2	2000	19.9	29.5	1.0	2.0
23	2	2000	18.8	28.3	5.0	1.9
24	2	2000	20.5	32.6	2.7	2.1
25	2	2000	19.0	30.6	1.0	2.1
26	2	2000	17.6	32.0	7.1	2.1
27	2	2000	19.3	29.9	0.5	2.2
28	2	2000	18.9	31.8	0.9	2.2
1	3	2000	21.2	33.2	1.3	2.5
2	3	2000	21.8	28.3	1.0	1.8
3	3	2000	20.7	29.3	2.3	2.3
4	3	2000	20.1	31.8	2.6	2.7
5	3	2000	21.9	33.0	0.2	2.9
6	3	2000	20.6	28.4	0.1	2.1
7	3	2000	20.5	27.1	3.1	2.0
8	3	2000	20.6	31.1	0.3	2.5
