Project: 	Example
Strategy:	Constant irrigation
Total irrigation volume:	200.0 mm
Crop model: AquaCrop-OS

Irrigation schedule (day 1 = seeding day): 
Day	Water [mm]
1	0.00
2	0.00
3	0.00
4	0.00
5	6.90
6	0.00
7	0.00
8	0.00
9	6.90
10	0.00
11	0.00
12	0.00
13	6.90
14	0.00
15	0.00
16	0.00
17	6.90
18	0.00
19	0.00
20	0.00
21	6.90
22	0.00
23	0.00
24	0.00
25	6.90
26	0.00
27	0.00
28	0.00
29	6.90
30	0.00
31	0.00
32	0.00
33	6.90
34	0.00
35	0.00
36	0.00
37	6.90
38	0.00
39	0.00
40	0.00
41	6.90
42	0.00
43	0.00
44	0.00
45	6.90
46	0.00
47	0.00
48	0.00
49	6.90
50	0.00
51	0.00
52	0.00
53	6.90
54	0.00
55	0.00
56	0.00
57	6.90
58	0.00
59	0.00
60	0.00
61	6.90
62	0.00
63	0.00
64	0.00
65	6.90
66	0.00
67	0.00
68	0.00
69	6.90
70	0.00
71	0.00
72	0.00
73	6.90
74	0.00
75	0.00
76	0.00
77	6.90
78	0.00
79	0.00
80	0.00
81	6.90
82	0.00
83	0.00
84	0.00
85	6.90
86	0.00
87	0.00
88	0.00
89	6.90
90	0.00
91	0.00
92	0.00
93	6.90
94	0.00
95	0.00
96	0.00
97	6.90
98	0.00
99	0.00
100	0.00
101	6.90
102	0.00
103	0.00
104	0.00
105	6.90
106	0.00
107	0.00
108	0.00
109	6.90
110	0.00
111	0.00
112	0.00
113	6.90
114	0.00
115	0.00
116	0.00
117	6.80
118	0.00
119	0.00
120	0.00
